User,Comment,VideoID,Likes,Replies
@mg5352,😂yep! The black conservative said you all would blame sleepy joe.,Ssqy6u1vREw,0.0,0.0
@TheNifster,ABC news couldn&#39;t pull the border Czar across the finish line.   Not even a rigged debate could do it.   I think people finally have had enough of the media bias.,Ssqy6u1vREw,0.0,0.0
@IslandVibez-id1up,Good over Evil,Ssqy6u1vREw,0.0,0.0
@elbmp5151,"107 days to prove to the US what they knew about her for 4 years: incompetent, bafoonish person.",Ssqy6u1vREw,0.0,0.0
@VinnyGBK,She had four years of introducing herself and power she didn’t do anything at all except allow the flow of illegal aliens into our country at an unprecedented rate,Ssqy6u1vREw,0.0,0.0
@IowaCornFed,"Americans are fed up with these news outlets. It’s not about you, it’s about the Americans. Americans spoke by voting for Trump and for Republicans.",Ssqy6u1vREw,4.0,0.0
@biashacker,"The easiest win for a president in any time in history. This was not a comeback, he was never losing.",Ssqy6u1vREw,1.0,0.0
@lisagomez3561,🙌🏻🇺🇸❤️TRUMP,Ssqy6u1vREw,0.0,0.0
@troublebear3600,After His Term Is Up It Will Be A Breath Of Fresh Air,Ssqy6u1vREw,0.0,0.0
@puff3400,This is what happens when people don&#39;t steal votes,Ssqy6u1vREw,0.0,0.0
@johndelarosa3197,"He does not have to convince anyone who already hates him and spoke wickedly of him.<br>He will however, serve them anyway to their economic benefit and otherwise.",Ssqy6u1vREw,0.0,0.0
@kickinitoldschool03,"President Biden has weighed in by saying, &quot;Grover Cle....uuurrr I mean Vladimir Putin....ummmm...ahhhhh, goodnight folks!&quot;",Ssqy6u1vREw,1.0,0.0
@mahiletzewdu2690,Oh this must be killing you inside guys 😂😂😂😂,Ssqy6u1vREw,0.0,0.0
@flagleradjuster4143,Right! Suffering because it was her ticket that put the USA in that position! This will be the GOLDEN ERA of the UNITED States!,Ssqy6u1vREw,0.0,0.0
@aaronarmijo3626,"The University of Pennsylvania has produced Donald Trump and Elon Musk. Ben Franklin, thank you for what you have done. God save Penn.",Ssqy6u1vREw,0.0,0.0
@SpontaneousOracle,Total rejection  of the party of lawlessness,Ssqy6u1vREw,0.0,0.0
@Nikki-ud9cl,Deeply divided😂 its deeply together,Ssqy6u1vREw,0.0,0.0
@Scrooge1Percenter,ABC crying 🤣🤣🤣,Ssqy6u1vREw,0.0,0.0
@Protect_all_ljf3forms,they tried every undemocratic method they could to get rid of him and he instead makes history with a landslide victory,Ssqy6u1vREw,0.0,0.0
@Questavest,Obama owes everyone an apology,Ssqy6u1vREw,0.0,0.0
@ChristJew19,Sad for ABC . I suggest David Muir to wear diaper for a few days from now.,Ssqy6u1vREw,0.0,0.0
@LSDdreams808,Kamala won the election we will be taking him to court,Ssqy6u1vREw,0.0,0.0
@johnperrin6341,Jonathan Karl should resign,Ssqy6u1vREw,0.0,0.0
@_Phara0h_404,I have never seen so many ‘adults’ act like children and bully/bash each other like children over political opinions and preferences. 💀,Ssqy6u1vREw,2.0,1.0
@regularguy8110,"A threat?  What a sad, sad channel.  I feel sorry for you.",Ssqy6u1vREw,0.0,0.0
@leiurus5533,Nice to see the truth spoken,Ssqy6u1vREw,0.0,0.0
@saywhat8635,"Unburdened by what has been, I love this statement now!",Ssqy6u1vREw,0.0,0.0
@Yourmomsbasement100,"David Muir, you sir are a joke.",Ssqy6u1vREw,0.0,0.0
@khaidirabdulmajid6151,Are you guys talking about a funeral? I sense a very sombre mood in your newsroom.,Ssqy6u1vREw,0.0,0.0
@racerx8855,Orange man good. Mainstream media not so much,Ssqy6u1vREw,0.0,0.0
@Blicc6aby,😆🤣🙃😜🤪,Ssqy6u1vREw,0.0,0.0
@BB_wi,We see through you David. You are a coward. Keep crying 😢. The light always prevails,Ssqy6u1vREw,0.0,0.0
@jenaipaslamoindreide,"ABC won the worst coverage of this cycle. Congrats ABC, it didn&#39;t work.",Ssqy6u1vREw,4.0,0.0
@whackamole4909,"<a href=""https://www.youtube.com/watch?v=Ssqy6u1vREw&amp;t=213"">3:33</a> they can&#39;t even admit Kamal was a babbling brook",Ssqy6u1vREw,1.0,0.0
@Chubbs-ui7wp,&quot;If they had time for a primary&quot; lolol,Ssqy6u1vREw,0.0,0.0
@INSIDIOUS-ONE,"F U David Muir &amp; MSM! You lied,tried &amp; failed!!  America SPOKEN!! Commie Kamala is a failure &amp; we all seen it!!  MAGA!!!",Ssqy6u1vREw,0.0,0.0
@edgarfrank5712,219 is all she&#39;s going to get. 😅 Trump will get 307.,Ssqy6u1vREw,0.0,0.0
@chacha9674,CONGRATULATIONS ABC!!!! Your KAMALIE LOSE!!!! ❤❤❤❤,Ssqy6u1vREw,3.0,0.0
@mrcatfish2100,Harris word salads didn&#39;t work.,Ssqy6u1vREw,5.0,0.0
@jayaallday8516,Black Lives MAGA ❤️❤️❤️,Ssqy6u1vREw,0.0,4.0
@salwanpolus4282,ذبو كيتي بيري بكان بارد🤣,Ssqy6u1vREw,0.0,0.0
